[09:31:49] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:31:51] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:31:55] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:31:57] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:31:57] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:31:59] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:32:03] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:32:08] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:32:08] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:32:10] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:32:32] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:37:23] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[09:37:30] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[09:37:30] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[09:37:30] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[09:37:30] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[09:37:42] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[09:37:42] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[09:37:42] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[09:37:43] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[09:37:43] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[09:39:33] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[09:39:35] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:39:41] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:39:47] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:40:00] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:40:07] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:40:16] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:40:26] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:40:37] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:40:40] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:40:44] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[09:40:44] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[09:40:44] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[09:40:44] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[09:40:47] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[09:40:48] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[09:40:48] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[09:40:48] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[09:40:48] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[09:40:48] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:42:20] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:43:53] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[09:43:54] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:43:58] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[09:43:59] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:44:02] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=31
[09:44:42] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=29
[09:45:03] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:45:03] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:45:06] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=32
[09:45:21] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Delete?id=29
[09:45:21] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:45:24] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Delete?id=31
[09:45:24] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:45:26] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Delete?id=32
[09:45:26] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:46:45] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:46:45] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:46:47] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=33
[09:47:09] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=33
[09:47:12] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:47:12] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:47:13] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=34
[09:47:27] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Delete?id=34
[09:47:27] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:47:31] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Delete?id=33
[09:47:31] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:47:52] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[09:47:52] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[09:47:54] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=35
[09:54:21] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=35
[09:54:24] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=35
[10:00:46] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[10:00:46] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[10:00:50] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=36
